path,labels
a8b8fde865,कुनै शाखामा
a44d8992bd,बजे उठेर घरबाट
d874534981,तयारीमा समिति लागेको
94810daea2,रानी हुन्
9aea02a167,जहाँनिया राणाशासनले देशभक्त
6010a2511e,मण्डेलाका जीवनमा
e75e50b7d9,कुटिडाँडा इलाम जिल्लामा
751b7c15d1,दिनसम्म सञ्चालन
3fa119efaf,विसङ्गतिपूर्ण हुन्छ।
f801247d8b,अधिकारका विरुद्ध नौसैनिक
220969b5c0,क व्याख्यात्मक निबन्ध
ba4bf4b152,पातको तल्लो भाग
a8d9d5456a,तिब्बती संसदमा अध्यक्ष
e4193da2e4,सिकार खेल्दै आएका उनीहरूले कालान्तरमा यही स्थायी बसोवास गर्न पुगे।
e7b9f8e7f5,एकपट्टिको भाग
e2d338fb69,आइडिमा सम्पर्क गर्नुहोला
10eaae44ab,अंशुवर्माको शासनकालपछि मात्र
ef9c1aac99,भन्ने आधार छन्।
bc2cc3acbf,जराको बोक्राको लेदो
eab634c5f7,स्थित एक ताल हो
89803d4438,थिए जबकि सन्
b25284dffe,क्रिसमसको हार्दिक मङ्गलमय
da47327786,गङ्गानगर जिल्लामा
c98bb32e62,नहोस् भन्नेमा उनीहरू
513bfb1b99,च्याउहरू रक्सीसँग खाएमा
ac4534e862,फलाम मानिन लाग्यो
3832c35402,शक्तिशाली निवारक
6e200c08d1,सही सामग्रीहरू
9f1bb924c2,सङ्ग्रहहरू प्रकाशित
c6ed80c6b1,विभाजनले यस एकाकी
b9e0a53c9d,श्रद्धान्जलि स्वरूप थियो
e61da1d00f,आइओएस नामक
cc6d8d2de9,जसको नौ महिनापछि
f55e5f352b,कारण बन्छ
adf5918762,अन्तुडाँडा इलाम जिल्लाको
53634fd57a,जन्म २६ अगस्ट
8b2e1f6875,सेवा पुर्‍याउने एक
51e7cd0b2c,उत्पत्ति र विकासमा
67b26c3b43,यसै दिन यहाँ
addff43728,प्रारम्भिक अवस्थामा यसको
f36915a304,शोमा नब्बेको दशकको
nep_3997_3180916082,चितवन राष्ट्रिय निकुञ्जमा सबै खाल्का पर्यटकहरूले मनोरञ्जन प्राप्त गर्न सक्ने हुनाले यो विश्वभर प्रसिद्ध छ
ebf3e5aac6,अदर स्टोरिज अङ्ग्रेजी
ee6605d67b,१४ जना असफल
88812a1580,अन्ना हजारे भन्छन्
358e4f8400,पुन विवाह हुन
0c64b8a6f0,छुट्टै वैशिष्ट्य छ
0a79bc4a45,युरोप अमेरिका चीन
9c7aa7a186,नाभिकीय हतियार यति
ab6093f179,कि एक आधार हो
aea3cd7b01,पूर्णतया आधुनिक यन्त्र
Voice941,"जस्तै गाजा,चरेस,हेरोइन आदि ।"
7394529437,डर्माटालजी चिकित्साको
925a4ef764,यस समयमा हजारेले
0af1a187f6,अध्यक्ष विनय थापासँग
9c4653ca37,इस्लामको कुनै नयाँ
df9ae31d6d,गायन गरेकी छन्
bb51c56a09,छोप्न खोज्छे
eb45dc1013,अप्रिलफुलको रूपमा मनाइन्छ
cbded6d979,परिणत गर्न गाउँको
15420f7e7d,परम्परागत पेसा व्यवसायका
6abfb7f1fa,जे यवस्य सुमको
b49415f494,विकास क्षेत्रको मेची
07f887bd84,ऐन २०६४
12d2b2b0e6,मनोरम दृष्यहरू देखिन्छन्
a8e2c1d1cf,काष्ठ मूर्तिहरू छन्
f5287b4818,भएँ भनेर नै
ce68dbc9e5,तथा सामुदायिक अस्पतालहरू
b467f47f20,एकातर्फ छ भने
nep_3960_2047264990,सर्बियन वंशको स्लोवेनियाई पशुशास्त्री
2144f1372a,उनले पूर्वतर्फ धावा गरी
e78e97ac24,क्षमताबाट वञ्चित हुनु
7eed02be23,सहायता गर्दै छन्
ebef5476e5,यसै प्रकार तेस्रो
17209c8474,हामीले बारम्बार
6cc3f9949c,उत्तरपट्टि अवस्थित गणेशको
d19e070418,अन्तरिम शासन विधान
d163f06a66,खेतीयोग्य थलो
d07b6457d1,चलचित्रहरू निम्न छन्
nep_0883_0523982617,एन्टाल्या सहरको पूर्वपट्टि रहेको रमणीय क्षेत्र नै यसको ठूलो स्रोत हो
35908aff8c,बियाँलाई फूलको अभावमा
caa14b1e1a,जसले डर मान्दैन
98c4161b48,प्रयोग गर्न खोज्दैछन्
f90389ef81,यस किसिमका निबन्धमा
a86a204abc,अक्सफोर्ड पनि भनिन्छ
7d878ef79d,मानव अधिकारकर्मी हुन्
eb90e421af,२४ मेगावाट छ
4eb66f3d93,सुकीले आफ्ना पतिलाई
17d44ac707,जिल्ला भित्र रहेका
e0e1d83bfc,न स्त्री तर
40d0d2c103,यसले निम्त्याउँछ
67a85f7f5e,सुविधा रहको छ
fb24317d15,तथा अन्य जातिको
753a51081f,जातिलाई नौमध्ये एक
cbbd00fc9f,रेफ्री भनिन्छ
94959c4433,बनेर पहिला राजाका
bdde15d58f,जुन मतभेद छ
f5532c8d1e,भएर नेपाली लेख्ने
c91e97f370,मूल एकै ठाउँमा
83f0a6d80c,बहने एक नदी हो
e8850cc828,ज्ञान र सीप
e4213587b8,वक्ता सड्ख्या भएको
841748fc8f,गाउँ पञ्चायत सीमाङ्कन
nep_3154_4933069146,ऐतिहासिक महत्त्व बोकेको यो दरबार भक्तपुर सहरको भक्तपुर दरबार क्षेत्रमा रहेको छ
e58d40b5e5,चरम अवस्थामा पुगेको
c258fafbe3,प्लान बनेका छन्
f63b7fe2ac,आइफोन इन्टरनेट
36e6108cce,बाँकी राखेन
581567da5e,धातु विशेषज्ञ
bfe66a02a1,क्यालेन्डर हो
93d91911a1,उनका त्यसपछिका सबै
98237239d4,अर्थ्याउन सकिन्छ
c52f57b286,दुःख सुखका कुराहरू
bb4cb3e54f,भवानी गौतम वार्ताले
abc529789c,कान्छी छोरी हुनुहुन्छ
f52c5ccff5,व्यक्तिगत फाइदा लिने
ed53dda5b7,२१ डिसेम्बर
7efeb9429f,पनि कहिल्यै पार्टी
b0eb7ffe15,कल्पनाको आंशिक प्रयोग
a7fb266b5d,हनन गर्ने
f0e7700c67,नाम केतु हो
3d0aa4ddf8,सबै भन्दा राम्रो रहन्छ
e23305cc3e,प्रान्त आदी बनेका छन्
0c11221095,गरिएको वाक्यांश इन्कलाब
5e26e2ac4d,शाही नेपाली सेनाका
3c28daa1a5,पनि राखेर
95d8fed29f,कार्य गर्नुभएको छ
5115dd1eeb,यहाँ प्रसिद्ध गङ्गा मेला
cc995dffc9,परेका गाविसहरूलाई माथि
Voice127,भर विभिन्न कार्यक्रमहरूको आयोजन गरी देवकोटाको जन्म जयन्ती मनाउने गरिन्छ।
d1a0093f15,काटेर मान्छे नभएको
79d035b54c,छ भने नक्षत्रपतिको
b08e4ca9cb,हाल ४ पृष्ठमा प्रकाशित
f634778c3b,प्रथम प्रधानमन्त्री
66b6a3f275,धर्म दर्शन विज्ञान
2693e983aa,निषेध गर्ने प्रचलन
527b9acecb,यस मिनार सुफी
4eccfbeaf6,कुनै समाग्री
ea91e28e06,खानाहरू पाइन्छन्
94a417e1c0,नेपालको लगभग ४०
227f26bb2d,रहेको यो होटल
1ecf61772f,हुने उक्त लुछाचुँडीमा
cbb623b756,भूक्षयको दृष्टिले जिल्लाको
abc1a44619,पूजाआजा गर्न थाले
d9bc990aa8,मिलिलिटर रहेको देखिन्छ
096019a7e0,झुमा बन्ने केटीलाई
fd2658b897,रेकर्ड अझै पनि
29d874948e,उनले यज्ञमा छोरी दाक्षायनी जसलाई सती पनि भनिन्छ र उनका पति महादेवलाई बोलाएनन्।
nep_3960_3671840928,उन्नाइस सय चौरानब्बेमा कोलम्बियाली फुटबल व्यावसायिकको पहिलो श्रेणी
8ded5716c2,धनुषा बजार सदरमुकाम
8d8ab4fab5,नाम दुनिवारन
e4748cee53,छिप्पाएर राखिएको वाइनलाई
909349ac10,अनुसारको मात्रामा तातो
