path,labels
6f4240cc6d,एक श्रीलङ्काली क्रिकेट
414c0c79da,उसबाट बच्न सकिन्छ
523ba5304f,राहुले पनि शनि
8a93c7cbdd,रूपमा प्रयोग
2146a76db4,बसी आएका हामी
a53d496360,पुरस्कार विजेता किरन
58148aa245,विशेष वर्णन छ
fc35ef7b6f,यदि यो टेम्पेटमा
f6aaa901b8,आउँदाआउँदै विभिन्न
6cb307a863,नै उसको अमरत्वको
fa60817a38,असमलाई एकल राज्यको
b5ac35eb68,अनेक इतिहासकारहरूले यसमा
1e5e6bb678,प्रदान गरेको छ।
a4ba236ea7,धेरै गणतन्त्रहरूमा
1c93cb31ad,भारतका सबै राज्यबाट
d080a1c718,युवक संगठनको झापा जिल्ला
c8d06c7390,मनुष्यहरूको विकास गर्ने
9185222b60,पर्ने धनपुर भन्ने
d31963f589,जडिबुटीहरू पाइन्छन् भने
fb92e05810,लिङ्ग भएकाले यसलाई
ef14e04222,व्यवस्था नभए तापनि
3c1a0ac695,टाढा टाढाबाट भक्‍तजनहरू
5e0b0e0d90,यो अधिकार प्रबन्धकलाई
e6e42d91f6,आयोजित हुन्छन्
90d3e26d35,केली दुखको दिनको
d92d49b8b1,अध्ययन गर्नमा तथा
83e0aadfb9,सर्वप्रथम कसले गर्‍यो
e3564f7409,उनले १० अक्टोबर
9d17671b2e,मेला लाग्छ
745a62e4b4,पनौती क्षेत्र आफैमा
07cec4858d,पहिरोले निकै क्षति
96748bc008,रहनसक्ने सम्भावना रहेको
852b2c809b,गौतम बुद्ध वा
16bd54328b,चित्रकारद्वारा भएको छ
75378eca30,कुनै शब्द
b434dc5d30,प्रशासनिक जिल्लाहरू मध्येको
ae9620ad82,कथा लेखेर ख्याति
01450bb80e,उमेश मैनाली नेपालका
e31de0a336,त्यसै कारणले उसलाई पुन्य प्राप्त भयो र त्यसको जन्म एउटा राजाका घरमा भयो।
e50fb03c4c,ललितकलाका धनी काठमाडौँका
7fb08ac5ec,विद्यार्थी राजनीति हुँदै
facdf2e69b,दान लिन कसैले
06647deccb,आर्द्रा नक्षत्रको
541543c3b0,यो सहर औषधि र
e8d211adf8,करेन्टको झट्का दिन्छ
cbcbbc76c1,साप्ताहिकमा गौतम बुद्ध
ecde13491c,आउँदै गर्दा लेखनाथ
nep_0546_0247685392,जर्मनीको ट्रियरमा रहेको रोमन क्याथोलिक गिर्जाघर
9c55d7130e,बोबी थलो हो
ee44b0a21a,उनले २००५ सालमा
d804724c8f,गोली बनाउने
8c6855d488,उहाँले आफ्नो क्यारियरको
2f507c326f,हिँड्छन् अल्लाहु अक्बर
7bb992c2ae,वादी क्षतिपूर्तिका लागि
cc21208d5e,रिलायन्सको सेयर किनेर
fc468009b1,आगामी दिनमा नेपाली
9786043af8,गैंडा आफ्नो परिवारका
dde33f39cb,कारण देखाउने गरेको
e637738250,भने त्यसमाथि उचित
ce02d99b25,सैनिक कारबाही
1673e7540d,खाद्यान्नलाई सुरक्षित ढङ्गले
d9f75dbea8,दिने नेताहरू अकर्मण्य
a20e2470ea,यो सुनेर वेदव्यास
d69ee8eff9,यी उपकरणहरूका लागि
f8b01b4550,चाहे आन्तरिक वा
ab2f1af006,बसोबास गरी बसेका
fdb3709b06,परीक्षा दिएका हुन्
f4ec9fb9c2,देखाउने परम्परा छ
d3bdb60631,तालिम गरेर आफ्नो
575ad06ffd,त्यति मात्र होइन
ad9dcad9b3,सुदुर पश्चिमाञ्चल विकास
bc9a904ad5,भट्मासलाई भुटिन्छ
1a72fe3a85,पानी बिजुली र ग्याँसको उपयोगितालाई
d3ba90aea4,श्रीकृष्णले पहिला त
c3e655f9e7,तत्कालीन प्रधानमन्त्री
f608147934,खेतबारीका रूखमा बस्ने
5c1ad063e8,विराट पोखर हुँदै
4741d1da03,औषधोपचारका अतिरिक्त
68a9043ad6,गेटा आँखा अस्पतालका
cfee1fd9cd,समझाए कि त्यो
7439c2f2e8,प्रवेश दिलाइयो
8f38e1f151,यसरी खोटाङको दिप्लुङबाट
dcc41f067f,तर संयोगवश २००७ सालको क्रान्तिले सफलता प्राप्त गर्‍यो।
c653ccfd79,जेठल गाविस पर्दछन्
a8d1636193,अतिरिक्त अल्मोडा र
fea7f38b24,मुक्त आकाशमुनि
ade7b58a36,यो एक निक्कै विशाल ब्ल्याक होल हो भन्ने अनुमान गरिएको छ।
fa9c21901f,न त राजा प्रजाको
90bdbdd892,गर्दा त्यस ताका
f10afadcdf,दृष्टिबाट आइनूहरुमा
1579e74868,तिनै कालको फल बताउन
e61504aac4,गेस्चर्सको सुविधा
71e560ff61,भन्नुपर्छ कि कुनै
cf83ff8834,प्रभावका बारेमा
da27af360a,तलपट्टि एक प्रकारको
nep_2099_2910899168,अर्जेन्टिनाको राजधानी सहर ब्युनर्स आयर्समा जन्मिएका जर्जमारियोलाई सन् उन्नाइस सय उनान्सत्तरीमा पुजारीको रूपमा नियुक्त गरिएको थियो
bd9f56636d,भाग लिएका थिए
f40a0e2fc5,सञ्चालन नै सम्भव हुनेछ
39724449c8,शिक्षित उपचारिकाहरूको तयार
c2349e10ff,आणविक सङ्ख्या ३० हो
7f41819cb8,तिनीहरू फेरि पहिले
dc01a6094b,झुप्प परेको मसिनो
ba60e5aff3,केटी साथी
b89d455aa8,नेपाली मगर नेवार
74bf82b22e,घोषणापत्रले मात्र
8f9a258d41,सामूहिक पत्र
fddd1ea133,पहिलोपटक प्रकाशित हिमदूत
c4bf475421,रूपमै काठमाडौँ महानगरपालिका
ee3ee96e91,त्यो असलि पृष्ठ
15fc33854e,ऐतिहासिक महत्त्व बोकेको
f8928f22b9,वा कुनै विशेषतालाई
dbaf5a69de,आतङ्ककारीहरूलाई बाहिर निकाल्न
aae9b828fa,त्यही तरिकाले छेना
3e52079769,तयार गर्नमा सहायता
dd2679624d,जानकारीहरू जसले ट्वीट्स
ddf0416e47,भारत सरकारद्वारा दिइने
37390d6a62,उनको आमा फिलिपिन्सकी
6252f1397e,पनि जापानी विश्वास
b29bd219ce,फर नर्सेज पुस्तकको
0407aca996,खोला रहेको र
f94d010470,जस्तो हैन
c265fc234b,दुवाडी नेपाल भारत
nep_0546_3543318757,चन्द्रसिं साउदको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
b83d6444f4,जग हो
673d845ac2,केन्द्र धनकुटा अञ्चलहरू
f215c5b0cf,जस्तो लाग्दैन
95887851bb,सहायक रथी पदबाट
Voice146,अन्तर्कलहले गर्दा चर्किदैं र ढल्दै गरेको देखे; त्यसबाट संसारमा सूर्य नअस्ताउने देशका रूपमा उपनिवेश फैलाउँदै गरेको ।
c2f65c6f39,रोगका बिरामीहरूको लागि
